,work_zone,vehicle_type,vehicle_year,vehicle_color,race,gender,driver_state,speed_limit,speed,day_of_week,day_of_month,month,hour_of_day,speed_over,percentage_over_limit
401,FALSE,Light Duty Truck,2016,GREY,WHITE,F,MD,30,39,Mon,11,Sep,18.91666667,9,30
402,FALSE,Automobile,2009,BLACK,BLACK,M,MD,50,63,Sun,10,Sep,23.78333333,13,26
403,FALSE,Automobile,2013,BLACK,BLACK,M,MD,50,66,Mon,11,Sep,2.616666667,16,32
404,FALSE,Automobile,2004,GREY,BLACK,F,MD,45,54,Tues,12,Sep,14.88333333,9,20
405,FALSE,Automobile,2012,BLUE,WHITE,F,MD,30,39,Tues,12,Sep,8.9,9,30
406,FALSE,Automobile,2011,GREY,HISPANIC,M,MD,30,39,Tues,12,Sep,9.633333333,9,30
407,FALSE,Automobile,2014,RED,BLACK,F,MD,30,39,Tues,12,Sep,9.766666667,9,30
408,FALSE,Automobile,2000,GREY,WHITE,M,MD,55,84,Mon,11,Sep,12.41666667,29,52.72727273
409,FALSE,Automobile,2207,GREY,HISPANIC,F,MD,40,49,Tues,12,Sep,8.516666667,9,22.5
410,FALSE,Automobile,2017,BLACK,HISPANIC,M,MD,40,49,Tues,12,Sep,9.2,9,22.5
411,FALSE,Automobile,2008,RED,ASIAN,M,MD,40,49,Tues,12,Sep,9.333333333,9,22.5
412,FALSE,Automobile,2017,GREY,OTHER,F,MD,40,49,Tues,12,Sep,9.65,9,22.5
413,FALSE,Automobile,2008,GREY,BLACK,M,MD,40,68,Tues,12,Sep,10.01666667,28,70
414,FALSE,Automobile,1995,GREEN,BLACK,M,MD,35,70,Tues,12,Sep,22.4,35,100
415,FALSE,Automobile,2014,WHITE,BLACK,M,MD,60,69,Tues,12,Sep,13.43333333,9,15
416,FALSE,Automobile,2015,BLACK,WHITE,M,MD,30,39,Tues,12,Sep,13.4,9,30
417,FALSE,Automobile,2010,RED,WHITE,M,MD,30,39,Tues,12,Sep,13.7,9,30
418,FALSE,Automobile,2007,BLACK,BLACK,M,MD,30,51,Tues,12,Sep,13.86666667,21,70
419,FALSE,Automobile,2008,GREY,BLACK,M,MD,30,39,Tues,12,Sep,14.76666667,9,30
420,FALSE,Automobile,2011,WHITE,WHITE,M,MD,35,44,Tues,12,Sep,8.016666667,9,25.71428571
421,FALSE,Automobile,2017,BLACK,ASIAN,M,MD,35,44,Tues,12,Sep,8.116666667,9,25.71428571
422,FALSE,Automobile,2016,BLACK,BLACK,M,VA,35,44,Tues,12,Sep,8.25,9,25.71428571
423,FALSE,Automobile,2002,WHITE,WHITE,M,MD,35,44,Tues,12,Sep,8.35,9,25.71428571
424,FALSE,Automobile,2017,RED,WHITE,M,MD,35,44,Tues,12,Sep,8.5,9,25.71428571
425,FALSE,Automobile,2011,WHITE,WHITE,M,MD,35,44,Tues,12,Sep,8.616666667,9,25.71428571
426,FALSE,Automobile,2011,BLACK,WHITE,F,MD,35,44,Tues,12,Sep,8.716666667,9,25.71428571
427,FALSE,Automobile,2012,BLACK,BLACK,F,DC,35,44,Tues,12,Sep,8.95,9,25.71428571
428,FALSE,Automobile,2008,GREY,WHITE,M,VA,35,44,Tues,12,Sep,9.416666667,9,25.71428571
429,FALSE,Automobile,2000,BLACK,BLACK,M,VA,35,44,Tues,12,Sep,9.55,9,25.71428571
430,FALSE,Automobile,2007,WHITE,BLACK,M,MD,40,61,Tues,12,Sep,14.56666667,21,52.5
431,FALSE,Automobile,2011,WHITE,HISPANIC,M,MD,40,63,Tues,12,Sep,14.78333333,23,57.5
432,FALSE,Automobile,2007,GREY,WHITE,F,MD,40,57,Tues,12,Sep,14.95,17,42.5
433,FALSE,Automobile,2012,BLACK,BLACK,F,MD,40,56,Tues,12,Sep,15.33333333,16,40
434,FALSE,Station Wagon,2015,BLACK,WHITE,F,MD,55,64,Tues,12,Sep,13.7,9,16.36363636
435,FALSE,Automobile,2009,GREY,WHITE,M,MD,40,49,Tues,12,Sep,8.85,9,22.5
436,FALSE,Automobile,2005,GREY,WHITE,M,MD,40,70,Tues,12,Sep,9.033333333,30,75
437,FALSE,Station Wagon,2005,GREY,HISPANIC,M,MD,40,49,Tues,12,Sep,9.466666667,9,22.5
438,FALSE,Light Duty Truck,2012,BLACK,WHITE,F,MD,40,49,Tues,12,Sep,9.65,9,22.5
439,FALSE,Automobile,2014,GREY,WHITE,F,MD,55,90,Tues,12,Sep,12.5,35,63.63636364
440,FALSE,Automobile,2000,BROWN,WHITE,M,MD,55,85,Tues,12,Sep,13.05,30,54.54545455
441,FALSE,Automobile,2017,GREY,WHITE,M,VA,55,86,Tues,12,Sep,13.23333333,31,56.36363636
442,FALSE,Automobile,2012,WHITE,ASIAN,M,MD,55,76,Tues,12,Sep,13.68333333,21,38.18181818
443,FALSE,Automobile,2005,BLUE,WHITE,M,MD,25,34,Tues,12,Sep,7.133333333,9,36
444,FALSE,Automobile,2014,GREEN,WHITE,M,MD,55,64,Tues,12,Sep,10.55,9,16.36363636
445,FALSE,Automobile,2004,GREY,BLACK,F,MD,40,59,Tues,12,Sep,10.86666667,19,47.5
446,FALSE,Automobile,2010,GREEN,WHITE,F,MD,25,30,Tues,12,Sep,13.18333333,5,20
